date,BOGZ1FL624123035Q,BOGZ1FL624090005Q,BOGZ1FL624190005Q,BOGZ1FL622151005Q,BOGZ1FL663067003Q,hf_equity,pb_intensity,pb_intensity_g,dealer_supply_g,repo_intensity,repo_intensity_g,year,quarter,pb_intensity_g_mean,pb_intensity_g_std,dealer_supply_g_mean,dealer_supply_g_std,pb_intensity_g_z,dealer_supply_g_z,pb_intensity_g_nowcast,pb_intensity_g_lag1,pb_lead,pb_lead_mean,pb_lead_std,pb_lead_z,pb_lead_percentile,run_rate_regime,stress_flag
2022-01-01,475218.0,2600998.0,821583.0,63415.0,519187.0,1779415.0,0.2670641755857965,-0.02088950862869865,0.0031232090822541636,0.035638117021605416,-0.06439560309589609,2022,1,0.01017750650865037,0.08472257445965074,0.038279464469027503,0.07333871440031733,-0.3666911131477093,-0.47936830737001873,,0.0013132718239179386,-0.007115356042544641,0.019187440402656263,0.04802352886694937,-0.5477064486050909,34.69387755102041,Stable,false
2022-04-01,422858.0,2501584.0,802118.0,69038.0,466897.0,1699466.0,0.24881815817439126,-0.07076664630019569,-0.10615544995811099,0.04062334874601787,0.08495665112238981,2022,2,0.006698041570825408,0.08662115563784237,0.029902823099105635,0.07984107308537984,-0.89429293918562,-1.7041137825354584,,-0.02088950862869865,-0.06215684902965055,0.013717049681134203,0.050809114219101,-1.4933127624228686,4.081632653061225,Decelerating,true
2022-07-01,393969.0,2437172.0,754035.0,64163.0,458614.0,1683137.0,0.23406829034119028,-0.06110942937205488,-0.017899778946677714,0.038121079864562424,-0.07323035707191217,2022,3,0.0026051853357819455,0.08784756485808286,0.028361942334693156,0.08048094079498297,-0.7252860658205762,-0.5748158610523442,,-0.07076664630019569,-0.05368704269055987,0.01047687426777496,0.05300264619185678,-1.2105795006173266,8.16326530612245,Decelerating,false
2022-10-01,397554.0,2409333.0,735423.0,60445.0,381610.0,1673910.0,0.23750022402638135,0.01455565489734445,-0.18380975296931368,0.036110065654664826,-0.05969285991591633,2022,4,0.003461398570762775,0.08787793026422101,0.013663536214374439,0.0909226868642204,0.12624621782994627,-2.171881364203252,,-0.06110942937205488,-0.06151847656360985,0.0057122583494224,0.05504203183951992,-1.2214435526117497,6.122448979591836,Decelerating,true
2023-01-01,410327.0,2464119.0,765414.0,75814.0,370528.0,1698705.0,0.2415528299498736,0.016919639981869405,-0.029470129251645716,0.0446304685039486,0.22654911150998025,2023,1,0.004787633590742935,0.08787050755088711,0.009520485472954832,0.09090501641123971,0.1380668751014172,-0.42891598576049156,,0.01455565489734445,0.00449480289390689,0.0055066643043028525,0.055038330773496125,-0.018384667488557396,46.93877551020408,Stable,false
2023-04-01,426490.0,2448415.0,754207.0,70052.0,380525.0,1694208.0,0.2517341436234512,0.041285338276065175,0.026622862735868225,0.04134793366576005,-0.07904514875351687,2023,2,0.0050768918975034215,0.08798637599786144,0.012056753049291569,0.09062474740760425,0.41152332924181156,0.16072993418742954,,0.016919639981869405,0.029091724988047418,0.0067206167780842875,0.05528940085308218,0.40461838733627775,69.38775510204081,Accelerating,false
2023-07-01,398198.0,2470578.0,769292.0,68084.0,401990.0,1701286.0,0.23405706036492394,-0.07280861165612951,0.05487533452199678,0.040019138463491734,-0.028495586464691414,2023,3,-0.000141560087082071,0.08941640436408263,0.014312759735492887,0.0911246671972422,-0.8126814322924935,0.44513276189755435,,0.041285338276065175,-0.0009547426353297989,0.00529847806316659,0.05509256093530509,-0.11350390311024956,40.81632653061224,Stable,false
2023-10-01,448056.0,2610559.0,830638.0,72027.0,397939.0,1779921.0,0.25172802613149686,0.0727843099614951,-0.010128485481432747,0.04046640272236802,0.05629881177540241,2023,4,0.010582026133747724,0.08425950567130464,0.01841714385453468,0.08786426048383314,0.7382227480706779,-0.3248832822216693,,-0.07280861165612951,0.001098588534594526,0.008787550386654033,0.05229951374443422,-0.14701784589493963,42.857142857142854,Stable,false
2024-01-01,490161.0,2688351.0,843059.0,74879.0,433768.0,1845292.0,0.26562787894815565,0.05374713470647752,0.0862111017528111,0.040578401683852745,0.038832428658178486,2024,1,0.0105599680757268,0.08424754618646695,0.024061405788339485,0.08843911982911656,0.5126222493787963,0.702739874441969,,0.0727843099614951,0.06852613780731706,0.013943047824187293,0.052878004773157544,1.0322456419694144,91.83673469387755,Accelerating,false
2024-04-01,468068.0,2663303.0,827278.0,82768.0,451005.0,1836025.0,0.254935526477036,-0.04108570216828378,0.038968596956619805,0.04507999618741575,0.10016803588185219,2024,2,0.007526401419320661,0.08499445612312637,0.024224710282306727,0.08846475841557096,-0.5719444044348375,0.16666395679342025,,0.05374713470647752,0.012119365519108569,0.012762726964809323,0.0526290691731336,-0.012224450399916657,63.26530612244897,Stable,false
2024-07-01,515150.0,2819616.0,899867.0,98020.0,451493.0,1919749.0,0.2683423718413188,0.05125299621913659,0.0010814429451588836,0.05105875820224415,0.16913002622024287,2024,3,0.011564076005540358,0.085060987884327,0.023828014186471604,0.0885542936128222,0.466593690018843,-0.256865819976674,,-0.04108570216828378,0.006391563465045037,0.013216874445596275,0.05252778544534261,-0.1299371546446264,51.02040816326531,Stable,false
2024-10-01,536466.0,2900447.0,956917.0,93410.0,485515.0,1943530.0,0.276026611372091,0.028233607020198725,0.0726503143767463,0.04806203145822292,-0.0481731335966451,2024,4,0.010942783088069818,0.08488248006617606,0.02641548472407802,0.0892178128225704,0.20370309536960557,0.5182241997415538,,0.05125299621913659,0.047394570078963874,0.015028411018186555,0.0530751519122727,0.6098175491664153,83.67346938775509,Accelerating,false
2025-01-01,548980.0,2903615.0,943166.0,102599.0,476860.0,1960449.0,0.28002768753484536,0.0143912032495086,-0.017987236477368995,0.05233443971253524,0.09382978021571908,2025,1,0.020474653451783353,0.07256601955032317,0.02306863058010311,0.08958275207363955,-0.08383331812841126,-0.4583010245512777,,0.028233607020198725,0.011141434637530742,0.017786993106563554,0.051246286625291335,-0.1296788295632929,59.183673469387756,Stable,false
2025-04-01,633611.0,3065863.0,1010549.0,94651.0,506422.0,2055314.0,0.30827941618652915,0.0961180847977694,0.06014736704389634,0.04605184414644186,-0.08063174326059652,2025,2,0.01789252438958534,0.06860933209850262,0.029313781475015687,0.08746668839799412,1.1401591884887523,0.3525180401089446,,0.0143912032495086,0.058520996817409854,0.021651583832712228,0.051258652805918396,0.719281740085854,89.79591836734693,Accelerating,false
