,date,hf_margin_loans,hf_aum_proxy,leverage_ratio,^SPX_qtr_end,market_valuation,lci,lci_velocity,lci_zscore,lci_percentile,regime
33,2021-03-31,411104.0,117527.81128740583,3.497929515548236,3972.889892578125,1.1635243982231205,4.069926334605153,-0.32450807375314095,1.0109124164557308,98.0392156862745,Expansion
34,2021-06-30,512296.0,146445.4919642857,3.49820259489405,4297.5,1.1529125559658135,4.033121694965541,-0.9043072678410794,0.7396915375938511,94.11764705882352,Expansion
35,2021-09-30,471054.0,134662.23909354073,3.498040751221957,4307.5400390625,1.0749161637624658,3.7601005449882803,-6.769474630980434,-0.05888015448925546,56.86274509803921,Normal
36,2021-12-31,484574.0,138533.12243879045,3.497892716697441,4766.18017578125,1.1153171240002815,3.9012596448485213,3.754130991214783,0.3348683405229588,86.27450980392157,Expansion
37,2022-03-31,475218.0,135855.85360630578,3.4979574849761397,4530.41015625,1.024994186826476,3.5853860878667034,-8.096706852078354,-1.34707209935695,21.568627450980394,Contraction
38,2022-06-30,422858.0,120882.81557652063,3.4980819894315296,3785.3798828125,0.8602926625605339,3.0093742685431,-16.065545110270932,-2.1640280405819694,3.9215686274509802,Contraction
39,2022-09-30,393969.0,112625.3197806222,3.4980500012554416,3585.6201171875,0.8361895588734451,2.925032887467042,-2.8026218592242245,-1.5992667014136557,1.9607843137254901,Contraction
40,2022-12-30,397554.0,113654.04839285713,3.4979308315161193,3839.5,0.9361975770770778,3.274754369248599,11.956155545464703,-0.6534027953811032,9.803921568627452,Contraction
41,2023-03-31,410327.0,117308.19864031111,3.4978544104844658,4109.31005859375,1.0309044123948088,3.6059535456830787,10.113710498246444,0.2318811790529385,23.52941176470588,Contraction
42,2023-06-30,426490.0,121932.16736223493,3.4977644474487812,4450.3798828125,1.1104108298915434,3.883955522856737,7.709527414918376,1.025461849438737,82.35294117647058,Expansion
43,2023-09-29,398198.0,113845.89801443917,3.4976929950475353,4288.0498046875,1.0394836257237865,3.635794596160702,-6.389386418964628,0.4261708754657964,37.254901960784316,Normal
44,2023-12-29,448056.0,128099.47202636719,3.497719334141947,4769.830078125,1.114383109353122,3.8977993472256345,7.20625833322934,1.1352876458820658,84.31372549019608,Expansion
45,2024-03-28,490161.0,140137.951126709,3.497703484738474,5254.35009765625,1.1618330935462315,4.063747659981136,4.257487314569426,1.2393718881734714,96.07843137254902,Expansion
46,2024-06-28,468068.0,133829.2726853725,3.4975008875704643,5460.47998046875,1.1409190650481584,3.9903654426519983,-1.805776919954672,0.845443309337674,92.15686274509804,Expansion
47,2024-09-30,515150.0,147286.5576853725,3.4976036380756637,5762.47998046875,1.1385427650924547,3.982171317292095,-0.20534774264829148,0.715416947466818,90.19607843137256,Expansion
48,2024-12-31,536466.0,153378.92852294922,3.4976512430110738,5881.6298828125,1.0835252625985052,3.789793481561562,-4.830978388477549,-0.3977979845576904,68.62745098039215,Normal
49,2025-03-31,548980.0,156949.63594813753,3.497809961033647,5611.85009765625,0.9942857570943282,3.4778226252784226,-8.231869567589046,-1.833025180269363,15.686274509803921,Contraction
50,2025-06-30,633611.0,181140.30091413227,3.497901884906092,6204.9501953125,1.076259954635862,3.764651723969727,8.247375717395649,-0.30551450759755805,60.78431372549019,Normal
